9.936534e-01	0
9.936534e-01	0.03125
8.322144e-01	0.03125
8.322144e-01	0.0625
7.801192e-01	0.0625
7.801192e-01	0.09375
7.701291e-01	0.09375
7.701291e-01	0.125
6.977315e-01	0.125
6.977315e-01	0.15625
6.063939e-01	0.15625
6.063939e-01	0.1875
5.904686e-01	0.1875
5.904686e-01	0.21875
4.680186e-01	0.21875
4.680186e-01	0.25
4.485352e-01	0.25
4.485352e-01	0.28125
4.199753e-01	0.28125
4.199753e-01	0.3125
3.951462e-01	0.3125
3.951462e-01	0.34375
3.715179e-01	0.34375
3.715179e-01	0.375
2.504587e-01	0.375
2.504587e-01	0.40625
1.279418e-01	0.40625
1.279418e-01	0.4375
