x	sin(x)	cos(x)	tan(x)
0	0	1	0.0
0.062831853	0.061279052	0.9980267284327796	0.0629146671815697
0.125663706	0.125333234	0.9921147013324747	0.12632937830022484
0.188495559	0.187381315	0.9822872507690483	0.19076020199534133
0.251327412	0.248689887	0.9685831612000507	0.25675636006161107
0.314159265	0.309016994	0.9510565164060842	0.3249196958360286
0.376991118	0.368124553	0.9297764860468303	0.3959280082994182
0.439822972	0.425779292	0.9048270522542246	0.4705642818198265
0.502654825	0.481753674	0.8763066798388133	0.5497546527470424
0.565486678	0.535826795	0.8443279253124196	0.6346192980404902
0.628318531	0.587785252	0.8090169942091676	0.7265425284362818
0.691150384	0.63742399	0.7705132426417738	0.8272719463266086
0.753982237	0.684547106	0.7289686273266363	0.9390625060780321
0.81681409	0.728968627	0.6845471058801001	1.0648918404670307
0.879645943	0.770513243	0.6374239897526518	1.2087923503969533
0.942477796	0.809016994	0.5877852523547172	1.3763819202484822
1.005309649	0.844327926	0.5358267951045769	1.5757478594506136
1.068141502	0.87630668	0.48175367429496696	1.8189932463308618
1.130973355	0.904827052	0.4257792918295767	2.1251081715447104
1.193805208	0.929776486	0.3681245530232296	2.5257116867603724
1.256637061	0.951056516	0.30901699478952943	3.077683532610268
1.319468915	0.968583161	0.24868988668803396	3.8947428628896574
1.382300768	0.982287251	0.1873813141726818	5.242183593088963
1.445132621	0.992114701	0.12533323321835874	7.9158151105038
1.507964474	0.998026728	0.06279051925296052	15.894544914097077
1.570796327	1	-2.0510342851533115e-10	-999999
1.63362818	0.998026728	-0.06279051966235794	-15.89454481005362
1.696460033	0.992114701	-0.12533323362533078	-7.915815084389992
1.759291886	0.982287251	-0.18738131457562257	-5.242183581406076
1.822123739	0.968583161	-0.24868988708535344	-3.8947428562570137
1.884955592	0.951056516	-0.3090169942286028	-3.0776835387866623
1.947787445	0.929776486	-0.36812455247485354	-2.5257116911125874
2.010619298	0.904827052	-0.4257792912959158	-2.12510817479806
2.073451151	0.87630668	-0.4817536737781271	-1.8189932488721259
2.136283004	0.844327926	-0.5358267946065979	-1.5757478615048526
2.199114858	0.809016994	-0.5877852526865815	-1.3763819190611684
2.261946711	0.770513243	-0.6374239900687216	-1.208792349387361
2.324778564	0.728968627	-0.6845471061791278	-1.064891839591652
2.387610417	0.684547106	-0.7289686276074421	-0.9390625053060895
2.45044227	0.63742399	-0.7705132429032493	-0.8272719456356653
2.513274123	0.587785252	-0.8090169944502812	-0.7265425278095416
2.576105976	0.535826795	-0.8443279255322194	-0.6346192974650762
2.638937829	0.481753674	-0.876306680036432	-0.5497546522128586
2.701769682	0.425779292	-0.9048270524288822	-0.4705642813187872
2.764601535	0.368124553	-0.9297764858297131	-0.3959280089816666
2.827433388	0.309016994	-0.9510565162238283	-0.32491969648808766
2.890265241	0.248689887	-0.968583161053375	-0.25675636069028596
2.953097094	0.187381315	-0.9822872506585321	-0.19076020260659693
3.015928947	0.125333234	-0.9921147012585539	-0.12632937889943074
3.078760801	0.06279052	-0.9980267284585368	-0.0629146667697392
3.141592654	1.22515E-16	-1.0	4.102068570306623e-10
3.204424507	-0.06279052	-0.9980267284070226	0.06291466759340031
3.26725636	-0.125333234	-0.992114701281062	0.12632937871697836
3.330088213	-0.187381315	-0.9822872506921833	0.1907602024204751
3.392920066	-0.248689887	-0.9685831610980365	0.2567563604988601
3.455751919	-0.309016994	-0.9510565162793234	0.3249196962895419
3.518583772	-0.368124553	-0.9297764858958232	0.3959280087739285
3.581415625	-0.425779292	-0.9048270525053463	0.47056428109943493
3.644247478	-0.481753674	-0.8763066801229483	0.5497546519789959
3.707079331	-0.535826795	-0.8443279256284466	0.6346192972131629
3.769911184	-0.587785252	-0.8090169945558394	0.726542527535158
3.832743037	-0.63742399	-0.770513243017722	0.8272719453331738
3.89557489	-0.684547106	-0.7289686277303776	0.9390625049681363
3.958406744	-0.728968627	-0.6845471055810723	1.0648918413424093
4.021238597	-0.770513243	-0.6374239894365821	1.2087923514065457
4.08407045	-0.809016994	-0.5877852520228534	1.3763819214357946
4.146902303	-0.844327926	-0.5358267947582277	1.5757478608793565
4.209734156	-0.87630668	-0.48175367393550034	1.818993248098333
4.272566009	-0.904827052	-0.42577929145841037	2.1251081738074467
4.335397862	-0.929776486	-0.3681245526418291	2.5257116897873773
4.398229715	-0.951056516	-0.30901699439939934	3.077683536906012
4.461061568	-0.968583161	-0.24868988725929797	3.894742853353274
4.523893421	-0.982287251	-0.18738131475202774	5.242183576291375
4.586725274	-0.992114701	-0.12533323380350128	7.9158150729574865
4.649557127	-0.998026728	-0.06279051984159037	15.89454476450384
4.71238898	-1	-3.846897971943775e-10	-999999
4.775220833	-0.998026728	0.0627905190737281	-15.894544959646854
4.838052687	-0.992114701	0.12533323403230326	-7.915815058276157
4.90088454	-0.982287251	0.18738131497856328	-5.242183569723192
4.963716393	-0.968583161	0.24868988748267312	-3.894742849624366
5.026548246	-0.951056516	0.3090169946187325	-3.0776835344909226
5.089380099	-0.929776486	0.3681245528562546	-2.5257116880855777
5.152211952	-0.904827052	0.42577929166708206	-2.1251081725353242
5.215043805	-0.87630668	0.48175367413759373	-1.8189932471046546
5.277875658	-0.844327926	0.5358267949529469	-1.5757478600761101
5.340707511	-0.809016994	0.5877852522094285	-1.376381920768283
5.403539364	-0.770513243	0.6374239896142782	-1.2087923508389475
5.466371217	-0.728968627	0.6845471057491871	-1.0648918408502677
5.52920307	-0.684547106	0.728968627203701	-0.9390625064159842
5.592034923	-0.63742399	0.7705132425273009	-0.8272719466291005
5.654866776	-0.587785252	0.8090169941036096	-0.7265425287106648
5.71769863	-0.535826795	0.8443279257520192	-0.6346192968896619
5.780530483	-0.481753674	0.8763066802340503	-0.5497546516786754
5.843362336	-0.425779292	0.9048270526035398	-0.4705642808177479
5.906194189	-0.368124553	0.92977648598072	-0.39592800850715665
5.969026042	-0.309016994	0.9510565163505891	-0.3249196960345741
6.031857895	-0.248689887	0.9685831611553893	-0.25675636025303666
6.094689748	-0.187381315	0.9822872507353972	-0.19076020218146242
6.157521601	-0.125333234	0.9921147013099665	-0.12632937848267736
6.220353454	-0.06279052	0.9980267284215033	-0.06291466736186743
6.283185307	-2.4503E-16	1.0	-1.7958636867904636e-10
